Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Enabled/Shutdown
pe,SITE1-LER1,Ethernet1,p,SITE1-LSR1,Ethernet1,Enabled
pe,SITE1-LER1,Ethernet2,pe,SITE1-LER2,Ethernet2,Enabled
pe,SITE1-LER1,Ethernet3,,,,Enabled
pe,SITE1-LER1,Ethernet4,,,,Enabled
pe,SITE1-LER1,Ethernet6,l3_interface,,,Enabled
pe,SITE1-LER1,Ethernet6.10,l3_interface,,,Enabled
pe,SITE1-LER1,Ethernet8,cpe,CPE_TENANT_A_SITE1,Ethernet1,Enabled
pe,SITE1-LER2,Ethernet1,p,SITE1-LSR2,Ethernet1,Enabled
pe,SITE1-LER2,Ethernet2,pe,SITE1-LER1,Ethernet2,Enabled
pe,SITE1-LER2,Ethernet3,,,,Enabled
pe,SITE1-LER2,Ethernet4,,,,Enabled
pe,SITE1-LER2,Ethernet5,l3_interface,,,Enabled
pe,SITE1-LER2,Ethernet5.100,l3_interface,,,Enabled
pe,SITE1-LER2,Ethernet8,cpe,CPE_TENANT_A_SITE1,Ethernet2,Enabled
p,SITE1-LSR1,Ethernet1,pe,SITE1-LER1,Ethernet1,Enabled
p,SITE1-LSR1,Ethernet3,p,SITE2-LSR1,Ethernet3,Enabled
p,SITE1-LSR1,Ethernet4,rr,SITE1-RR1,Ethernet4,Enabled
p,SITE1-LSR2,Ethernet1,pe,SITE1-LER2,Ethernet1,Enabled
p,SITE1-LSR2,Ethernet3,p,SITE2-LSR2,Ethernet3,Enabled
rr,SITE1-RR1,Ethernet4,p,SITE1-LSR1,Ethernet4,Enabled
pe,SITE2-LER1,Ethernet1,p,SITE2-LSR1,Ethernet1,Enabled
pe,SITE2-LER1,Ethernet4,,,,Enabled
pe,SITE2-LER1,Ethernet5,,,,Enabled
pe,SITE2-LER1,Ethernet6,l3_interface,,,Enabled
pe,SITE2-LER1,Ethernet6.10,l3_interface,,,Enabled
pe,SITE2-LER1,Ethernet6.100,l3_interface,,,Enabled
pe,SITE2-LER1,Ethernet7,l3_interface,,,Enabled
pe,SITE2-LER1,Ethernet8,cpe,CPE_TENANT_A_SITE2,eth0,Enabled
pe,SITE2-LER1,Ethernet11,,,,Enabled
p,SITE2-LSR1,Ethernet1,pe,SITE2-LER1,Ethernet1,Enabled
p,SITE2-LSR1,Ethernet3,p,SITE1-LSR1,Ethernet3,Enabled
p,SITE2-LSR1,Ethernet4,rr,SITE2-RR1,Ethernet4,Enabled
p,SITE2-LSR2,Ethernet3,p,SITE1-LSR2,Ethernet3,Enabled
p,SITE2-LSR2,Ethernet12,,,,Enabled
p,SITE2-LSR2,Ethernet13,,,,Enabled
rr,SITE2-RR1,Ethernet4,p,SITE2-LSR1,Ethernet4,Enabled
